MSB,LSB,16-bit HEX,Decimal Value,Analog Output (V)
0x2,0x46,0x246,582,0.010292374
0x2,0x47,0x247,583,0.010285748
0x2,0x48,0x248,584,0.010244648
0x2,0x49,0x249,585,0.010337471
0x2,0x4A,0x24A,586,0.010376366
0x2,0x4B,0x24B,587,0.010389986
0x2,0x4C,0x24C,588,0.010383209
0x2,0x4D,0x24D,589,0.010436723
0x2,0x4E,0x24E,590,0.010436224
0x2,0x4F,0x24F,591,0.010411047
0x2,0x50,0x250,592,0.010358412
0x2,0x51,0x251,593,0.01046013
0x2,0x52,0x252,594,0.010509781
0x2,0x53,0x253,595,0.010534035
0x2,0x54,0x254,596,0.010536544
0x2,0x55,0x255,597,0.010599671
0x2,0x56,0x256,598,0.010609251
0x2,0x57,0x257,599,0.010594946
0x2,0x58,0x258,600,0.01054192
0x2,0x59,0x259,601,0.010625543
0x2,0x5A,0x25A,602,0.010654532
0x2,0x5B,0x25B,603,0.010659485
0x2,0x5C,0x25C,604,0.010642313
0x2,0x5D,0x25D,605,0.01068665
0x2,0x5E,0x25E,606,0.01067429
0x2,0x5F,0x25F,607,0.010641586
0x2,0x60,0x260,608,0.010518058
0x2,0x61,0x261,609,0.01062702
0x2,0x62,0x262,610,0.01068072
0x2,0x63,0x263,611,0.01070934
0x2,0x64,0x264,612,0.010717801
0x2,0x65,0x265,613,0.010786022
0x2,0x66,0x266,614,0.010797698
0x2,0x67,0x267,615,0.010787706
0x2,0x68,0x268,616,0.01074174
0x2,0x69,0x269,617,0.010829729
0x2,0x6A,0x26A,618,0.010865246
0x2,0x6B,0x26B,619,0.010874326
0x2,0x6C,0x26C,620,0.010861064
0x2,0x6D,0x26D,621,0.010910821
0x2,0x6E,0x26E,622,0.010905086
0x2,0x6F,0x26F,623,0.010875239
0x2,0x70,0x270,624,0.010816641
0x2,0x71,0x271,625,0.010916501
0x2,0x72,0x272,626,0.010960284
0x2,0x73,0x273,627,0.010979911
0x2,0x74,0x274,628,0.010976978
0x2,0x75,0x275,629,0.011035098
0x2,0x76,0x276,630,0.01103953
0x2,0x77,0x277,631,0.011018578
0x2,0x78,0x278,632,0.010963
0x2,0x79,0x279,633,0.011040573
0x2,0x7A,0x27A,634,0.011064055
0x2,0x7B,0x27B,635,0.011064935
0x2,0x7C,0x27C,636,0.011040833
0x2,0x7D,0x27D,637,0.011081846
0x2,0x7E,0x27E,638,0.011065044
0x2,0x7F,0x27F,639,0.011026485
0x2,0x80,0x280,640,0.010883678
0x2,0x81,0x281,641,0.010998745
0x2,0x82,0x282,642,0.011056365
0x2,0x83,0x283,643,0.011091643
0x2,0x84,0x284,644,0.011104623
0x2,0x85,0x285,645,0.01118048
0x2,0x86,0x286,646,0.011198727
0x2,0x87,0x287,647,0.011196327
0x2,0x88,0x288,648,0.011156584
0x2,0x89,0x289,649,0.011248907
0x2,0x8A,0x28A,650,0.011289681
0x2,0x8B,0x28B,651,0.011304855
0x2,0x8C,0x28C,652,0.011300098
